,Symbol,Date,Low,Open,Volume,High,Close,Adjusted Close
8954,COST,2022-01-14,501.8599853515625,511.5700073242188,3872500,512.97998046875,502.989990234375,501.41302490234375
8955,COST,2022-01-18,486.8599853515625,494.4599914550781,3801900,495.0799865722656,488.0700073242188,486.5398254394531
8956,COST,2022-01-19,487.1000061035156,489.8900146484375,2709400,496.239990234375,490.1600036621094,488.6232604980469
8957,COST,2022-01-20,481.8399963378906,490.75,2893700,499.8800048828125,482.8200073242188,481.3062744140625
8958,COST,2022-01-21,481.3200073242188,481.9200134277344,3295600,494.6099853515625,481.6099853515625,480.10003662109375
8959,COST,2022-01-24,469.010009765625,475.5499877929688,4412600,489.9700012207031,488.8999938964844,487.3672180175781
8960,COST,2022-01-25,472.3699951171875,479.8999938964844,3076800,482.6400146484375,477.3200073242188,475.8235168457031
8961,COST,2022-01-26,478.7699890136719,483.2300109863281,3074900,493.8699951171875,483.4700012207031,481.9542236328125
8962,COST,2022-01-27,480.30999755859375,486.9200134277344,2372300,495.7900085449219,482.5199890136719,481.0072021484375
8963,COST,2022-01-28,475.8999938964844,483.739990234375,1918500,492.7300109863281,492.4299926757813,490.8861083984375
8964,COST,2022-01-31,490.6300048828125,492.0,2480700,506.4200134277344,505.1300048828125,503.54632568359375
8965,COST,2022-02-01,496.9400024414063,505.0,2347200,509.6799926757813,508.4100036621094,506.8160400390625
8966,COST,2022-02-02,510.3399963378906,511.1099853515625,2547600,523.989990234375,522.02001953125,520.3834228515625
8967,COST,2022-02-03,514.2100219726562,515.8800048828125,2665100,526.4400024414062,521.77001953125,520.9224853515625
8968,COST,2022-02-04,510.7999877929688,518.1099853515625,2387400,522.0,519.77001953125,518.92578125
8969,COST,2022-02-07,514.22998046875,521.2999877929688,1863600,522.0,515.8900146484375,515.0520629882812
8970,COST,2022-02-08,510.5,515.8900146484375,1462000,523.3900146484375,521.1500244140625,520.3035278320312
8971,COST,2022-02-09,525.6799926757812,528.0,2256700,534.239990234375,528.8300170898438,527.9710693359375
8972,COST,2022-02-10,514.75,520.8699951171875,2558900,524.469970703125,518.47998046875,517.6378173828125
8973,COST,2022-02-11,507.3800048828125,518.4000244140625,2349700,521.3499755859375,509.6700134277344,508.8421630859375
8974,COST,2022-02-14,501.4400024414063,508.989990234375,1749600,511.5299987792969,506.55999755859375,505.7372131347656
8975,COST,2022-02-15,510.760009765625,513.3400268554688,1984600,516.0,513.9199829101562,513.085205078125
8976,COST,2022-02-16,501.7099914550781,511.489990234375,1770800,514.5499877929688,512.4000244140625,511.5677490234375
8977,COST,2022-02-17,507.0299987792969,509.6400146484375,2022800,518.2100219726562,515.010009765625,514.1734619140625
8978,COST,2022-02-18,510.3299865722656,514.8900146484375,2154700,517.9000244140625,512.6699829101562,511.8372497558594
8979,COST,2022-02-22,498.1600036621094,510.0,2451800,514.5800170898438,502.1799926757813,501.36431884765625
8980,COST,2022-02-23,494.7799987792969,502.9400024414063,2021400,507.9700012207031,495.260009765625,494.45556640625
8981,COST,2022-02-24,482.9800109863281,483.2699890136719,2859800,506.5499877929688,505.5799865722656,504.7587890625
8982,COST,2022-02-25,505.25,508.5799865722656,2003000,518.25,517.489990234375,516.6494140625
8983,COST,2022-02-28,511.2999877929688,514.2999877929688,2408900,519.6300048828125,519.25,518.4066162109375
