,symbol,date,adjusted_close
0,AAPL,2022-01-14,172.59620666503906
1,SHW,2022-01-14,307.0341186523437
2,COST,2022-01-14,501.41302490234375
3,AMZN,2022-01-14,162.13800048828125
4,UNH,2022-01-14,468.6900024414063
5,NFLX,2022-01-14,525.6900024414062
6,FDX,2022-01-14,254.06446838378903
7,DTE,2022-01-14,117.67305755615234
8,BAC,2022-01-14,47.40385437011719
9,MRO,2022-01-14,19.35025787353516
10,AMT,2022-01-14,247.81076049804688
11,NFLX,2022-01-18,510.7999877929688
12,BAC,2022-01-18,45.77128601074219
13,COST,2022-01-18,486.5398254394531
14,AAPL,2022-01-18,169.33514404296875
15,MRO,2022-01-18,19.31050491333008
16,FDX,2022-01-18,251.19879150390625
17,AMZN,2022-01-18,158.91749572753906
18,AMT,2022-01-18,247.42514038085932
19,UNH,2022-01-18,460.989990234375
20,DTE,2022-01-18,116.6873550415039
21,SHW,2022-01-18,304.80450439453125
22,AAPL,2022-01-19,165.77491760253906
23,AMT,2022-01-19,246.2089080810547
24,DTE,2022-01-19,116.97321319580078
25,COST,2022-01-19,488.6232604980469
26,SHW,2022-01-19,302.3857421875
27,UNH,2022-01-19,462.5199890136719
28,FDX,2022-01-19,250.06837463378903
29,MRO,2022-01-19,18.98253631591797
30,NFLX,2022-01-19,515.8599853515625
31,AMZN,2022-01-19,156.2989959716797
32,BAC,2022-01-19,45.94938659667969
33,AMZN,2022-01-20,151.66749572753906
34,AMT,2022-01-20,243.18321228027344
35,AAPL,2022-01-20,164.0596160888672
36,NFLX,2022-01-20,508.25
37,FDX,2022-01-20,248.6305694580078
38,COST,2022-01-20,481.3062744140625
39,BAC,2022-01-20,45.26667785644531
40,DTE,2022-01-20,116.66764068603516
41,SHW,2022-01-20,296.2840881347656
42,MRO,2022-01-20,18.56511688232422
43,UNH,2022-01-20,463.0
44,NFLX,2022-01-21,397.5
45,BAC,2022-01-21,44.44544219970703
46,COST,2022-01-21,480.10003662109375
47,MRO,2022-01-21,17.988685607910156
48,UNH,2022-01-21,461.1700134277344
49,SHW,2022-01-21,291.4963073730469
50,FDX,2022-01-21,242.84962463378903
51,AAPL,2022-01-21,161.9653778076172
52,DTE,2022-01-21,116.7662124633789
53,AMT,2022-01-21,242.01644897460932
54,AMZN,2022-01-21,142.64300537109375
55,AAPL,2022-01-24,161.17752075195312
56,FDX,2022-01-24,243.65280151367188
57,DTE,2022-01-24,115.20879364013672
58,BAC,2022-01-24,44.07935333251953
59,MRO,2022-01-24,18.18745422363281
60,AMZN,2022-01-24,144.54400634765625
61,UNH,2022-01-24,462.2699890136719
62,SHW,2022-01-24,297.1400756835937
63,NFLX,2022-01-24,387.1499938964844
64,COST,2022-01-24,487.3672180175781
65,AMT,2022-01-24,245.6156311035156
66,FDX,2022-01-25,241.98692321777344
67,BAC,2022-01-25,44.95005798339844
68,NFLX,2022-01-25,366.4200134277344
69,COST,2022-01-25,475.8235168457031
70,AAPL,2022-01-25,159.3425750732422
71,SHW,2022-01-25,292.8998107910156
72,AMZN,2022-01-25,139.98599243164062
73,MRO,2022-01-25,19.38007354736328
